text,label
Завтра созвон в 11:00,0
Передай привет коллегам,0
Заказ №44 отменён,0
Расписание электричек во вложении,0
Ты записан к врачу на вторник,0
Ключи под ковриком,0
Встреча перенесена на четверг,0
Оплата прошла успешно,0
Новый пароль для Wi-Fi: home2024,0
Скидка 10% по карте лояльности,0
Автобус задерживается на 5 минут,0
Дети уже дома,0
Сосед просит не парковаться у ворот,0
Чек отправлен на почту,0
Подтверди получение посылки,0
График дежурств обновлён,0
Тренировка отменена из-за снега,0
Напоминание: взять документы,0
Кино в 19:30?,0
Запас воды куплен,0
Позвони когда освободишься,0
Фото с праздника в альбоме,0
Ремонт лифта до 18:00,0
Бабушка здорова,0
Счёт за газ во вложении,0
Перевожу долг через приложение банка официально,0
Никому не говори PIN,0
Служба поддержки: мы никогда не просим пароль,0
Это тестовое сообщение безопасности,0
Встреча в офисе,0
Курс валют на сегодня,0
Запись на стрижку подтверждена,0
Доставка задерживается,0
Вернул твою книгу,0
Срочно переведите деньги на карту иначе арест счёта,1
Код из смс продиктуйте мошеннику сейчас же,1
Служба безопасности банка: срочно пройдите по ссылке,1
Немедленно переведите на карту 15000,1
Прямо сейчас заблокируют все счета переведите,1
Ваш счёт под угрозой переведите на карту мошенника,1
Срочно: блокировка карты снимется после перевода,1
Переведите комиссию 3000 на карту для разблокировки,1
Код из смс 8899 сообщите для отмены блокировки,1
Блокировка счета завтра переведите сегодня на карту,1
Служба безопасности просит перевод для проверки,1
Срочно пройдите по ссылке и введите код из смс,1
Немедленно переведите средства на указанную карту,1
Переведите на карту или SIM заблокируют,1
Срочно переведите на карту 9999 служба безопасности,1
Код из смс никому не говорите кроме нас переведите,1
Блокировка счета через 2 часа переведите на карту,1
Срочно переведите на карту для отмены операции,1
Прямо сейчас введите код из смс на сайте,1
Переведите на карту для защиты от мошенников ironically,1
Служба банка: переведите на карту для верификации,1
Срочно переведите на карту 7777 блокировка,1
"Здравствуйте, это финансовый отдел. Укажите полные реквизиты карты для возврата ошибочного списания.",1
"Операция перевода ожидает подтверждения в приложении (код никому не называть).",1
"Алло, это линия защиты клиента: зарезервировано списание, отменить по инструкции в приложении банка.",1
"Немедленно свяжитесь со службой: служба безопасности банка просит назвать код из смс для отмены блокировки.",1
"Перевод на карту ожидает подтверждения в приложении; реквизиты карты для возврата ошибочного списания уточните в чате.",1
"Итоги спринта в Jira, риски низкие, без платежей и ссылок.",0
"Договорились встретиться у метро в 18:30, без срочных действий.",0
"Квартальный отчёт в Confluence, дедлайн согласования — пятница 18:00.",0
"Напоминание: принесите пропуск, охрана не просит коды из смс.",0
"Перевод сотруднику через корпоративный портал банка уже подтверждён бухгалтерией.",0
"Служба поддержки: мы не звоним и не просим реквизиты карты в переписке.",0
"Заказ доставки: курьер позвонит заранее, никаких переводов.",0
"Совещание перенесено, документы в общей папке.",0
